group	artifact	version	license	binary_files
androidx.collection	collection-jvm	1.4.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-jvm	1.4.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-jvm	1.4.4	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	collection-jvm-1.4.4.jar
androidx.collection	collection-ktx	1.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-ktx	1.4.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-ktx	1.4.4	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	collection-ktx-1.4.4.jar
androidx.compose	compose-bom	2024.12.01	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.animation	animation	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.animation	animation-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	animation-android-1.7.6.aar,animation-release.aar
androidx.compose.animation	animation-core	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.animation	animation-core-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	animation-core-android-1.7.6.aar,animation-core-release.aar
androidx.compose.foundation	foundation	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.foundation	foundation-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	foundation-android-1.7.6.aar,foundation-release.aar
androidx.compose.foundation	foundation-layout	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.foundation	foundation-layout-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	foundation-layout-android-1.7.6.aar,foundation-layout-release.aar
androidx.compose.material	material	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.material	material-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	material-android-1.7.6.aar,material-release.aar
androidx.compose.material	material-icons-core	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.material	material-icons-core-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	material-icons-core-android-1.7.6.aar,material-icons-core-release.aar
androidx.compose.material	material-ripple	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.material	material-ripple-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	material-ripple-android-1.7.6.aar,material-ripple-release.aar
androidx.compose.material3	material3	1.3.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.material3	material3-android	1.3.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	material3-android-1.3.1.aar,material3-release.aar
androidx.compose.runtime	runtime	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.runtime	runtime-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	runtime-android-1.7.6.aar,runtime-release.aar
androidx.compose.runtime	runtime-saveable	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.runtime	runtime-saveable-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	runtime-saveable-android-1.7.6.aar,runtime-saveable-release.aar
androidx.compose.ui	ui	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
